Category,Question,Answer
General,What Roman Emperor was the first to convert to Christianity,Constantine - the great
General,Saturn is the roman god of ______,Agriculture
General,As what is the exclamation point known to mathematicians,Factoria
Science & Nature,From What Is The Heart Drug Digitalis Obtained,Foxgloves
General,A carbonade is a dish that must contain what,Beer
General,"What is the meaning of the Latin phrase ""cum grano salis""",With a pinch of salt
General,What is a group of this animal called: Horse,Team pair harras
Art & Literature,"Which Thriller Writers Works Include (The Dark Eyes Of London, Four Just Men & Sanders Of The River)",Edgar Wallace
General,USA favourite computer passwords are love and sex what UK,Fred
Sports & Leisure,What is the heaviest class of weight_lifting,Super heavyweight
General,The study of human pre history is ___________,Archaeology
General,Gemellus is a fancy name for what,Testicles
General,"In a church, the area where the transept and the nave intersect, usually emphasized by a dome or a tower.",Crossing
General,Promise of future benefits e.g. pensions or share options for those who stay with a company,Golden handcuffs
Art & Literature,What controversial book did Germaine Greer write?,The Female Eunuch
General,What is the only planet that is less dense than water,Saturn
Geography,What is the capital of Somalia ?,Mogadishu
General,What transporter room aboard the enterprise is chief o'brien's favorite,Three
General,Where would you find a Walloon,South Belgium – Native Flemish
General,"What is the nickname for San Antonio, Texas",Alamo city
People & Places,What Letter Do Most British Names Begin With,B
Music,"Which Peter Was Offered A Record Contract Live On Air After His Version Of ""Don't Be Cruel""",Peter Andre
General,In the kama-sutra the art of which game is recommened for women to study ?,Chess
General,In the poem who dug cock robins grave,Owl with his trowel
General,To which plant family (strictly genus) do jonquils and daffodils belong,Narcissus
Geography,What canal connects Lake Ontario and Lake Erie?,Welland
Science & Nature,What is the process of converting glucose to energy in cells called ?,Respiration
General,"Who is the subject of the book ""Longitude"" by Dava Sobel",John harrison
Science & Nature,Who Built The First Tunnel Under The River Thames,Sir Marc Isambard Kingdon Brunel
Science & Nature,"In the electomagnetic spectrum, what comes between X-rays and Light?",Ultraviolet light
Science & Nature,This small gland attached to the brain exerts a control over growth.,Pituitary
General,What is a group of turtle doves,Pitying
Food & Drink,What Fruit Is Used In Making 'Creme de Cassis',Blackcurrants
Science & Nature,The tailorbird of Africa makes its nest by sewing together two broad leaves. It uses fiber as the thread and its bill as the __________,Needle
General,What is the sacrament of anointing for dying persons,Extreme unction
General,What is a sorcerer who deals in black magic,Necromancer
General,An area of London got its name from a hunting call what,Soho
History & Holidays,"Which 60's Movie features The Line wise men and grocers, they weigh everything",Zorba the Greek
General,"What Type Of Vegetable Is Used In A ""Dubarry"" Soup",Cauliflower
General,Americans consume 2 billion lbs of what each year,Chocolate
General,Afrikaans developed from which language,Dutch
General,What city has the longest metro system,London
General,What was Helen Keller's first word,Water
Music,"Who Wanted To Take Things ""One Day At A Time"" In 1979",Lena Martell
General,Who ate watercress to dissolve gravel and stones in the bladder,North
General,Nonpariel Mission Caramel Neplus Peerless types of what,Almonds
General,Fruit puree thin enough to pour,Coulis
General,What marvel Comics superhero carries a star spangled shield,Captain america
General,What was a Spiney Pear,Pineapple
General,What European countries flag is square,Switzerland
General,Names from jobs - Baker Cook obvious what did a Mercer do,Textile dealer
General,Who was the leader of the notorious Gambino Mafia family,John Gotti
General,A Cow Moos - A Cock Crows - What does an Ape do,Jibber
General,Whose best-selling album is An Innocent Man which reached number two in the charts in 1983,Billy joel
General,In mythology who are sometimes called the dioscuri,Castor Pollux Zeus twin sons
Geography,Which U.S. state receives the most rainfall?,Hawaii
General,Which sci-fi writer adapted his own book for the movie Pet Sematary,Stephen king
General,"Discoverer of nine ancient cities including Troy, Heinrich Schliemann made spectacular excavations of which city during 1874 to 1876",Mycenae
General,Which is the largest of the Asteroids,Ceres
General,"In the cartoon show My Pet Monster,what were the only things that could send Beastor,Monster's enemy,back to the monster world?",A pair of orange handcuffs
General,What is a group of this animal called: Pony,String
General,Who sang '25 or 6 to 4',Chicago
Music,"Which 90's Song Opens With The Line ""She Came From Greece She Had A Thirst For Knowledge""",Pulp / Common People
General,What wondrous creation was built by Sostratus of Cnidos,Pharos of Alexandria
General,In the Bible what did David give Saul as a dowry for Michal,200 Foreskins from Philistines
Sports & Leisure,In Which Game Might You Peg Out,Cribbage
Geography,What is the capital of Slovenia ?,Ljubljana
Science & Nature,What Name Is Given To The Diagram In Which Sets Are Represented By Circles,Venn Diagram
Music,By Which Name Is Paul Gadd Better Known,Gary Glitter
Geography,Each tour through Natural Bridge Caverns in ____________ covers 3/4 mile. An average tour guide will walk almost 560 miles in one year.,Texas
General,What is the second biggest country in South America after Brazil,Argentina
General,Vodka and orange makes up what cocktail,Screwdriver
General,What facial feature contains approximately 550 hairs,Eyebrow
General,Tarlike mixture of hydrocarbons derived from petroleum,Bitumen
General,The original Peeping Tom had what job,Tailor
Religion & Mythology,"In Egyptian mythology, who is known as the god of the desert?",Ash
General,What word comes from the Latin phrase to crowd together,Constipation Con Sta Pay Shun
Geography,"This country's flag has a large ""R"" on it.",Rwanda
Science & Nature,Saturday is named after which planet?,Saturn
General,What is Israel's domestic intelligence agency called?,Shin Bet
General,From whom did Peter Mandelson borrow the money for his house,Geoffrey robinson
General,What does the 'o' used as a prefix in irish surnames mean,Descendent of
General,Who could win a PATSY,Picture Animal Top Star of  Year
General,Operation Thunderbolt was the nickname given to which raid,Israeli raid on Entebbe
General,What is the official language of new caledonia,French
General,Which former Soviet Republic in Central Asia has Tashkent as its capital,Uzbekistan
General,Wiccaphobia is the fear of ______,Witches and witchcraft
Food & Drink,What gives pasta its green colour?,Spinach
General,What is sex on the internet called,Cybersex
History & Holidays,Who was the only survivor of Custer's last stand?,His horse
General,In ancient Rome by law prostitutes had to do what,Dye blond or wear blond wig
General,In Curse of the Pink Panther who plays Clouseau after surgery,Roger Moore
General,What type of alcoholic drink is Manzanilla,Sherry
Science & Nature,"Like fingerprints, what other print is individual?",Tongueprints
General,What woman won 6 gold medals in the Olympic Summer games,Kristin Otto
History & Holidays,Who Released The 70's Album Entitled Superfly,Curtis Mayfield
General,"Who wrote 'born free', 'living free' and 'forever free'",Joy adamson
Science & Nature,What is the scientific name for brimstone?,Sulphur
General,What was Gary Gnu's catch phrase?,No Gnus is Good Gnus
General,"Which breed of dog was introduced to Britain from Seistan province of Persia by John Barff, who exhibited it at the Kennel Club in 1907",Afghan hound
General,Philippe Pages became famous as who,Richard Clayderman
General,Who is the adopted son of Vito Corleone,Tom Hagan
General,What Fashion Accessory Did Mary Quant Design,The Mini Skirt
General,What is the study of poisons called,Toxicology
Music,"Who Had A No.1 Huit In 1967 With ""Let The Heartaches Begin""",Long John Baldry
General,"Where did you see Fancy, Spook and Choo-Choo",In Top Cat
General,Judeophobia is the fear of,Jews
General,What did north american indians eat to dissolve gravel and stones in the bladder,Watercress
General,In 1911 the archaeologist Hiram Bingham discovered what lost city,Machu Picchu
General,Who is the greek counterpart of juno,Hera
General,Who sang the theme to The Spy who Loved Me,Carly Simon
General,What does the Australian word 'duuny' mean,Toilet
General,To which of its games did Hasbro give a red card in January 2000,Subbuteo
General,Which is the oldest walled city in the world,Jericho
Music,"Writer For Michael Jackson, George Benson & Michael Mcdonald Among Others With Which Band Did Rod Temperton First Find Success",Heatwave
General,"In ancient Rome, it was considered a sin to eat the flesh of what bird?",Woodpecker
History & Holidays,Who starred in the 1957 film showboat as June?,Ava Gardner
General,What was the first daily comic strip in the USA,Mutt and Jeff
General,Former YES drummer Bill Bruford played with what group in 1972,King crimson
General,Telly Savalas played which TV detective,Kojak
General,"In the theme song from 'the flintstones', what is the line after 'let's ride with the family down the street'",Through the courtesy of fred's two feet
General,Where might you spend a Won,North or South Korea
General,43% of Americans regularly do what,Attend church
General,Got a way what sport did andre agassi's dad compete in,Boxing
General,Approximately how many spoons are there in the 'New Jersey Spoon Museum',Five
General,What word refers to very harsh laws such as those devised by a 7th century BC Athenian legislator,Draconian draconic
General,Stagecoach and Fort Apache starred which actor,John wayne
General,Marcus Garvey founded what,Rastafarians
General,"What form of verse is ""paradise lost"" written in",Blank verse
General,A Russian space programs name meant East what was it,Vostok
Entertainment,In which opera does Leporello entertain a vengeful jilted lover?,Don Giovanni
General,What colour was moby dick,White
History & Holidays,"Plus or minus 100 pounds (lb), how much did the world's largest recorded pumpkin weigh","1,524 lb"
Religion & Mythology,What religion was founded by Lao-tzu ?,Taoism
General,What did Barbie first get in 1962,Her car made by Irwin for Mattel
General,What European Nation Was The First To Drink Tea,The Dutch / Holland
Music,"Where Can you see Lenny Bruce, Edgar Allen Poe, Karl Marx, and HG Wells all in the same place at the same time",Sergeant Peppers
Science & Nature,Where Is The World's Rarest Plant?,The UK. Encephalartos Woodii At Kew Gardens
Music,Name The Carly Simon US No.1 For Which Mick Supplied A Backup Vocal,You're So Vain
Food & Drink,What is the main ingredient of Tapanade?,Olives
General,1836 Mr Gray a gasfitter 10 years penal servitude stealing what,One Rabbit
General,"""I'm a soldier of fortune, I'm a dog of war ___"" What's the Dire Straits song title",Ride Across the River
General,Jean Montgolfier in 1157 built the worlds first what,Paper factory
General,What's the most popular form of bridge,Contract bridge
General,Elvis Stojko was an ice skating word champion - what country,Canada
General,What is the old name for solid sodium hydroxide,Caustic soda
General,The ore bauxite is the chief commercial source of which element,Aluminium
History & Holidays,What age preceded the Iron Age?,The Bronze Age
Science & Nature,"Kittens are born both blind and deaf, but the vibration of their mother's purring is a physical signal that the kittens can feel _ it acts like a __________, signaling them to nurse.",Homing device
General,What was the name of the German Republic of 1918-1933 overthrown by Hitler,Weimar republic
General,What officer of king pharoah bought joseph as a slave,Potiphar
General,What is the oldest soft drink in the USA,Doctor Pepper
General,What is the most ordered seafood item in a restaurant,Shrimp
Music,"In Music How Are The Trio Of “Ferguson, Pinkney And Holliday” Better Known",The 3 Degrees
General,Magnus Huss (a Swede) coined which word,Alcoholism
History & Holidays,What was Gary Gnu's catch phrase?,No Gnus is Good Gnus
General,What mountain has the figures of three mounted confederate heroes of the American Civil War?,Stone Mountain
General,Linda Hunt won an Oscar Year of Living Dangerously what 1st,First Oscar playing  opposite sex
History & Holidays,Who Played Jack Nicholson's Wife In The Shining,Shelley Duvall
History & Holidays,This U.S. president was fatally shot in 1881.,James Garfield
Entertainment,Name Li'l Abner's favorite Indian drink.,Kickapoo joy juice
General,What bird has two toes,Ostrich
Music,Which All-Male Group Spent More Weeks On The UK Charts In The 1980s Than Any Other Group?,Madness
General,Gregory Peck played Lt Joe Clements in what 1950s film,Pork Chop Hill
Music,Kim Smith Is The Real Name Of Wjich Singer,Kim Wilde
Music,Which phrase with a French flavour was the titleof Paul Young's debut album?,No Parlez
Geography,Which French Explorer Of West Africa Convinced Many African Leaders To Cede Power To France,Pierre Ne Brazza
General,What was jean harris found guilty of,Second degree murder 2nd degree murder
General,What is Britain's largest wild mammel,Grey seal
General,Which country consumes the most chicken per capita,Saudi Arabia
General,How did the crew of Red Dwarf get brought back to life?,By Nanobots
General,What is a group of herring,Army
General,Elvis Presley Adolf Hitler Errol Flynn all had what kinky habit,Peeping Toms
General,What titan had snakes for hair,Medusa
History & Holidays,Who Had An 80's Hit With The Song 'Is There Something I Should Know',Duran Duran
General,What Canadian city has the most bars per capita,Halifax Nova Scotia
General,Which Alabama city was the first capital of the Confederacy during the Civil War,Montgomery
General,Which elephant cant be domesticated the african or indian,African
Food & Drink,Sapporo is brewed in this country.,Japan
General,Mottephobia is the fear of what?,Moths
General,"Because metal was scarce, the oscars given out during WW II were made out of what",Wood
General,A flag flown upside-down is a signal of a(n) _________,Emergency
Music,Who is Pat Andrejewski better known as?,Pat Benatar
General,Egyptian embalmers replaced the bodies eyes with what,Onions
General,What chicken part is the snack of choice for Chinese movie goers,Feet
General,What type of scientific equipment was named after the german Bunsen,Burner
General,With what sport is gabriela sabatini associated,Tennis
General,Which Country Consumes More Coca-Cola Per Head Than Any Other?,Iceland
General,Which breed of dog was developed from the Bullenbaiser,Boxer
History & Holidays,What Star Sign Would You Be If Your Birthday Fell On Christmas Day,Capricorn
General,The Stasi were an intelligence organisation in what country,East Germany
General,Who Was The Very First Actor To Win 2 Consecutive Best Actor Oscars,Spencer Tracy
History & Holidays,What was Alaska called before 1867?,Russian America
General,What French word literally means little skip,Cabriolet
General,What type of creature is an Orb Weaver,Spider
General,Who wrote Private Lives - 1930 - Blyth Spirit 1941 (both names),Noel Coward
General,All commercially bred turkeys are what,Artificially Inseminated – males  oversized
Art & Literature,Who Was The Merchant In Shakespear's (The Merchant Of Venice),Antonio
General,Three fourths of household _____ is used to flush the toilet & take baths & showers,Water
General,Who performed the world's worst circumcision,Lorena bobbit
General,Large amphibious broad tailed rodent,Beaver
General,Topo in Italian Fare in Turkish what in English,Mouse
General,A story by Edgar Allan Poe___Fall of the..,House of usher
History & Holidays,In cockney rhyming slang what are 'Mince Pies'',Your Eyes
General,"Who said ""I have no problems with drugs - only policemen""",Keith Richard
General,The human body has over 600 what to account for 40% of the body's weight,Muscles
Music,"Who Had A 1994 Hit With ""Them Girls, Them Girls""",Zig & Zag
General,Diane Belmont became famous as who,Lucille Ball
General,Which was the first U.S. city to stage the summer Olympics,St louis
History & Holidays,Where do bathers traditionally go for a swim in Hyde Park on Christmas Day,The Serpentine
General,What animal has the same name as a high church official,Cardinal
General,Acmegenesis is a fancy name for what,Orgasm
General,What well known Russian author was also a doctor,Anton Chekov
Science & Nature,What is a group of larks called,Exaltation
Science & Nature,What word is used for a female sheep?,Ewe
General,In Bonanza what was Hoss Cartwright's characters first name,Eric
Music,How Many Girls Were There In Steps,"3 , Lisa, Claire, Faye"
Music,"According To The Title Of Their 1979 Hit, Where Did The Leyton Buzzards Spend Saturday Night",Beneath The Plastic Palm Trees
General,When was the date of the Christian festival Easter fixed by the Council of Nicaea?,325 AD
General,What is the correct name for the honey bear or potto,Kinkajou
General,Yogi Bear's sidekick was?,Boo boo
Geography,Into what sea does the elbe river flow,North
General,"Lee Which U.S. state is known as the ""Volunteer State""",Tennessee
General,By law what can you not do in Minnesota with your washing line,Put male female washing together
General,What comedy team's films included 'hollywood or bust' and 'living it up',Dean martin and jerry lewis
General,Which european country will lose its independence if there is no heir to the throne,Monaco
General,Mark David Chapman was famous for what in 1980?,Shooting John Lennon
History & Holidays,Which `Rocky Horror Picture Show' actor played Mocata in the 1967 film 'The Devil Rides Out',Charles Gray
General,Which camera company produces the popular 'Trip',Olympus
General,Harvey Lee Yeary II became famous under what name,Lee Majors
Geography,"Of the ten strongest earthquakes ever recorded in the world, three have occurred in ____________",Alaska
General,What is wynonna judd's real name,Christina clair ciminella
General,Somniphobia is a fear of ______,Sleep
General,What is the default extension given to paintbrush files,It's .bmp
General,A Quidnunc is a what - from the Latin Quidnunc what now,Gossip - used to be all politicians
General,Which girls name comes from German meaning battle,Hilda
General,A large box for valuables,Coffer
General,Why do Christians fast during the 40 days of Lent leading up to Easter,To replicate the 40 days Jesus spent in the wilderness
General,What kind of pants were first worn during the California gold rush,Denim jeans
General,Who founded 'live aid' and 'band aid',Bob geldof
Science & Nature,From which plant is the poison ricin obtained?,The Castor Oil Plant
General,How was the universe said to have been created,Big bang
Science & Nature,What is the meaning of the name of the constellation Lyra ?,Lyre
General,With what song did Status Quo opened the Band Aid concert,Rocking all over the World
General,Who ate chicken little,Foxy loxy
General,Garnet is the birthstone of January - what does it symbolise,Truth - consistency
General,In which country are the Philips company based,Holland
Science & Nature,"Maxillary palps, abdomen, and metathorax are parts of a(n) ________.",Insect
Music,"Who Asked ""Am I The Same Girl"" In 1992",Swing Out Sister
General,Name the Hindu god with the head of an elephant.,Ganesh ganesha ganapati ganesa
Science & Nature,What is normal body temperature for an adult human,97.8 F or 36.5C
History & Holidays,In 1954 Roger Bannister achieved the worlds 1st Sub 4 min mile in what English County did this take place,Oxforshire
General,What tv series was based on the series of books by laura ingalls wilder,Little house on the prairie
General,In Maine it is illegal to bite your own what,Landlord
General,"Which German chemist, along with Fritz Strassmann, is credited with the discovery of Nuclear Fission?",Otto Hahn
General,How many men have walked on the moon,12
History & Holidays,From what were Jack-o-Lanterns first made in U.K.,Turnips
General,What was the top film of 1990,Home Alone
General,Which cartoon character's vital statistics were 19-19-19 -in inches,Olive oyl
General,In WW1 what warning device was on the top of Eiffel Tower,Parrots
General,What is installed in the world's deepest mine in carletonville,Refrigeration
General,In the Bible who climbed Mount Nebo,Moses to see promised land
General,"The average human body contains enough iron to make how many 3"" nails",1
General,"Spanish: How do yoU.S.ay ""sixteen""",Diez y seis
Toys & Games,Which exercises are designed to increase O2 consumption & speed circulation,Aerobics
General,Where is your zygomatic bone,Cheek
General,Run away to marry secretly,Elope
Geography,What is the capital of Florida?,Tallahassee
Geography,Name the capital city of Utah.,Salt Lake City
General,"Who fought at the battles of Bastia, Calvi and Toulon",Horatio Nelson
General,"What is often referred to as ""the oldest profession""?",Prostitution
Music,What Is The Name Given To A Sailors Work Song,A Sea Shanty
Science & Nature,What is the SI Unit for pressure?,Pascal
General,Who won Best Supporting Actress for her role in Melvin and Howard,Mary
General,Kigali is the capital of ______,Rwanda
General,What kind of birds would you find in a gaggle,Geese
Geography,What is the basic unit of currency for Burkina Faso ?,Franc
General,The French call it La Mort aux Trousses what Hitchcock film is it,North by Northwest
General,What common 4 legged animals never walk or trot,Rabbits
General,Where is David Livingstone Buried (Two Places / countries),Westminster Abby / Tanzania
General,What does the prefix 'pseudo' mean,Pretend
General,"Ezekiel, Jeremiah, Eli and Isaiah were all what in The Bible",Prophets
General,The Venetian island of Murano is particularly associated with the manufacture of which product,Glass
History & Holidays,"In 1902 this volcano erupted, killing 30,000",Pelee
People & Places,Who Would You Associate With Lou Costello,Bud Abbott
General,Holland hosted the Olympics in which year,1928
General,What company created the gif image file format,CompuServe
General,What is the binot simon scale used to measure,Intelligence
General,50 years ago Texas giving advice on what was prison sentence,Birth Control
General,The Murryfield Racers play which sport,Ice Hockey
Science & Nature,In Which City Is The Oldest Metro System In The World,London
General,"Who sang the song ""Californication""?",Red Hot Chilli Peppers
General,"In common: detroit, phibes, demento, faustus?",Doctors
Religion & Mythology,Which Roman God was the equivalent of the Greek God Dionysus?,Bacchus
Music,Where Were typically Tropical Going To In 1975,Barbados
General,Who was castrated in the time of richard the lionheart,Poachers
General,Who Was Sportswoman Of The Year In 1971,Princess Anne
General,What gemstone has a name literally meaning not intoxicated,Amethyst
General,Which record company rejected the Beatles as being past it,Decca
General,Patterson what do you call a person that stuffs dead animals,Taxidermist
General,In what country was the worlds first wildlife sanctuary set up,Sri Lanka 3rd cent BC
General,Shinguards were introduced into football in which year,1839
General,What name is given to sweet chestnuts preserved in syrup,Marrons glace
Sports & Leisure,Which Boys Name Is Also The Name Of The Object Ball In Bowls?,Jack
Science & Nature,"The shrew is known to eat up to its own weight about every three hours. Deprived of nutrition for a day, it may __________",Starve to death
General,Who used to do naked cartwheels to amuse the English settlers,Pocahontas
General,Name the first British show to air on US autumn prime time,The Avengers
Science & Nature,"A __________ keeps purring, no matter if it is inhaling or exhaling, a baffling accomplishment.",Cat
General,What is the Capital of: Czech Republic,Prague
General,Which West Bengal town is the centre of production of the tea called 'The Champagne of Teas' because of its grape aroma,Darjeeling
General,Who was the second man to step onto the Moon in 1969,Buzz aldrin
Geography,In what country is the source of the blue nile,Ethiopia
General,Pax was the Roman god of peace who's the Greek equivalent,Irene
General,"In 1968, who invited you to Dance To The Music",Sly and the Family Stones
General,Which Mediterranean island is named after a metal,Cyprus
General,"In addition to writing novels, Jonathan Swift also wrote social and philosophical commentary. In one satirical piece, ""A Modest Proposal,"" what did he suggest should be made out of the skin of children?",Gloves
General,"What deranged movie murderer has been dubbed a ""jaws on land""",Jason
General,Pieces of vegetable coated in seasoned flour and deep fried,Pakora
Science & Nature,He designed the first feasible automobile with an internal combustion engine.,Karl Freidrich Benz
General,Quercus is the Latin name of what Tree,Oak
General,"In 'Back To The Future', where did Doc Brown get the plutonium to power the time-travelling DeLorean?",Lybian terrorists
General,Where could you spend a Sol,Peru
Music,"Mark King Was The Lead Singer With Which UK Pop Outfit ""Level 42"" Or ""Big Country""",Level 42
Science & Nature,"An adult walrus typically eats about 3,000 __________ per day.",Clams
Geography,Name a country which has the same name as a bird.,Turkey
General,"When Jonathan Edwards smashed the world triple-jump in 1995, by how much did he increase it",0.31 metres
Music,Who Sang In A Pop Duo Alongside Mel Appleby,Kim Appleby
General,In which city is the worlds longest skating rink - rideau canal,Ottawa Canada
Science & Nature,"A mother __________ often gives birth while standing, so the newborn's first experience outside the womb is a 1.8_meter (6_foot) drop. Ouch!",Giraffe
General,Table Tennis competitions only two coloured balls allowed what,White and Yellow
General,Who wrote Last Tango in Brooklyn his third novel,Kirk Douglas
General,Vincent Furnier is better known as who,Alice Cooper
General,To which tree family does the osier belong,Willow
History & Holidays,"""What brought Frosty the Snowman to life? (""""Pixie Dust, A Kiss,Magic Snow,An Old Silk Hat"""" """,An Old Silk Hat
General,Artistic movement shared name with French for hobby horse,Dada thus Dadaism
Music,What Did Hot Chocolate Say It Sterted With In The 1970's,A Kiss
General,Who dropped out of Harvard in 1975,Bill Gates
General,"Art, science, & industry of managing the growth of plants & animals for human use",Agriculture
Sports & Leisure,Which country was represented by the athlete Don Quarrie?,Jamaica
General,"What actress said ""I acted vulgar - Madonna is vulgar""",Marlene Dietrich
General,What Was The Name Of The Dog In Fraggle Rock,Sprocket
General,Who breathes through spiracles,Insects
General,"Which eponymous, or title female, cartoon character was created by Max Fleischer",Betty boop
General,What are the colours of the five olympic rings?,"Red, Blue, Green, Yellow, Black"
Geography,What city is associated with Alcatraz?,San Francisco
General,Who owned the dog called Peritus,Alexander the Great
General,What is the fear of dolls known as,Pediophobia
General,Which is the highest mountain outside Asia,Aconcagua
General,Hormone used in treating inflammation and allergy,Cortisone
General,What is the worlds most polluted major city,Mexico City
General,What was the capital of east germany,East berlin
History & Holidays,Who invented crop insurance?,Benjamin Franklin
General,A pudding of stewed fruit under bread,Charlotte
General,With what day does a month start if it has a friday 13th,Sunday
Music,Name 3 Of The Four Members Of The Classic REM Lineup,"Bill Berry, Peter Buck, Mick Mills, Michael Stipe"
General,Proverb: the early bird __________,Catches the worm
Language,"What three letter word means the same as ""to ingest""",Eat
General,"In Korean, what does seoul mean",The capital
Music,Which Declaration Brought The Beastie Boys Into The Charts In 1987,You Gotta Fight For Your Right To Party
General,The Underworld in Greek mythology,Hades
General,Who was the first winner of the British version of the TV reality show 'Big Brother'?,Craig Phillips
Sports & Leisure,"Who was football manager at Southampton, Rangers and Liverpool in the 1980's & 1990's?",Graeme Souness
Sports & Leisure,"Other than Alain Prost, which driver won three Formula One World Championships in the 80's?",Nelson Piquet
Music,What Was Dire straits 1982 Album Called,Love Over Gold
General,What kind of animal was the now extinct Dodo,Bird
General,The character Lieutenant Pinkerton appears in what work,Madam Butterfly
General,What term is applied to animals or plants that are not nocturnal,Diurnal
General,Who said 'public service is my motto',Al capone
General,Which group of Australian origin had a top twenty hit in 1965 with The Carnival is Over,The seekers
Science & Nature,What Colour Is The Australian Swan?,Black
General,The largest internal organ of the human body is,Liver
General,What is measured in fathoms,Depth of water
General,What muscles provide about 200 pounds of force,Jaw muscles
Geography,What is the basic unit of currency for Belarus ?,Rubel
General,80% of Americans say they believe in what,Miracles
General,What gift is associated with the 40th Wedding Anniversary?,Rubies
History & Holidays,From what country did the U.S. buy the Virgin Islands?,Denmark
Geography,What is the basic unit of currency for Uruguay ?,Peso
General,The Fagus is the Latin name of what type of tree,Beech
General,What does a heliologist study?,The sun
General,What colour is the the Northern Line on the London underground?,Black
General,In Texas its illegal to shoot a buffalo from where,Hotel second story
General,Isms: a painful stiffness of the muscles and joints,Rheumatism
Geography,___________________ has the largest rural population in the United States.,Pennsylvania
General,"What links Catalonia, Andalusia, Cantabria, Galicia",Regions of Spain
General,What is the name of Jonny Quest's Dog,Bandit
Sports & Leisure,Which Country Has Had The Most Wins At The Angling World Championships,France
General,Betsy Ross is the only real person to ever have been the head of a ______?,Pez dispenser
History & Holidays,Who was the first dog in space ?,Laika
General,Nipper is the RCA dog in the US what's he known as in the UK,HMV dog
General,What is the significance of the moth found in the Harvard Mark I computer,"First computer ""bug"""
General,A large French country house,Chateau
Art & Literature,A Russian abstract movement originated by Malevich c. 1913. It was characterized by flat geometric shapes on plain backgrounds and emphasized the spiritual qualities of pure form.,Suprematism
General,All living things contain what,Water
General,What is the common name for the Aurora Borealis,Northern lights
Sports & Leisure,What do runners pass to each other in a relay race?,Baton
General,Which planet did John Couch Adams and Urbain Leverrier work out the existence and position of before it could actually be seen,Neptune
General,What was the worlds first patented synthetic food in 1869,Margarine
General,In what Australian state would you find Fremantle,Western australia
People & Places,Formerly known as East Pakistan what is this country now called,Bangladesh
History & Holidays,Live Aid was to benefit which starving country?,Ethopia
General,Jr how many tunes blared from the 1948 wurlitzer model 1100 jukebox,24
Toys & Games,"This chess term means ""in passing""",En passant
Music,What Song Was Christmas Number One In The UK In Both 1975 And 1991?,Bohemian Rhapsody By Queen
Entertainment,Which of Paul Simon's musical characters was told to hop on the bus?,Gus
General,What martial arts name means gentle way,Judo
Music,Which Group Sat Down In The Top Ten Twice,James
General,Arnold Cream was a famous (early) boxer - who,Jersey Jo Walcott
Sports & Leisure,Who was voted BBC's Golden Sports Personality for the last 50 Years in 2003?,Steve Redgrave
History & Holidays,What Shakespearean king was actually king of Scotland for 17 years?,Macbeth
General,J D Sallenger wrote Catcher in the Rye what's the J D stand for,Jerome David
General,Which tough guy actor was once a drop hammer operator,Robert Mitchum
General,What is the flower that stands for: death preferrable to loss of innocence,White rose
General,"What part of an eatery do some restaurant owners call ""the cancer ward""",The smoking section smoking section
Sports & Leisure,In Australian Rules Football How Many Players May A Team Have On The Field At One Time,18
General,"In boy meets world,what is the crazy older brother's name?",Eric
General,What element is lacking in a diet causes goitre,Iodine
Geography,What is the capital of Mauritius ?,Port Louis
General,Charles Henry Stuard Gmelin was the first UK what 6 Apr 1896,Olympic competitor 4th 3rd heat 100 m
General,"In motor racing, what is yellow",Danger flag
Food & Drink,"The French call it Sabayon, what do the Italians call it?",Zabaglione
General,Nylon was invented in 1934 what product first used it,Toothbrush
Science & Nature,Which Significant Beverage Did Dr John Pemberton Of Atlanta Georgia Invent In 1886,Coca Cola
Sports & Leisure,In Professional World Cup Rugby How Many Minutes Does The Game Actually Last,80 Mins
General,"Which Country Did The 1998 Eurovision Song Contest Winner ""Dana International"" Represent",Israel
General,"What is the common name for a ""canis lupus""",Timber wolf
History & Holidays,How Did UN Secretary General Dag Hammarskjoeld Die In September 1961,In An Air Crash
General,Engine that employs gas flow as the working medium by what heat energy is transformed into mechanical energy,Gas turbine
General,Approximately what percentage of the earth do the oceans cover,71%
General,In which European country is the world's deepest known cave,France
General,The Composer Mozart Wrote The Music To Which Popular Tune?,Twinkle Twinkle Little Star
General,A is Alpha is the international alphabet but A used to be what,Able
General,What is the Capital of: Sierra Leone,Freetown
Geography,What is the basic unit of currency for India ?,Rupee
General,The Zoastrian religion began in what country,Persia or Iran
Geography,What was the former name of Thailand?,Siam
Science & Nature,Which video game series is sometimes referred to as GTA?,Grand Theft Auto
General,Who played Beau Geste in the 1939 film,Gary Cooper
General,What is the second largest state in the u.s,Texas
General,What is the scent of an artificial hare at greyhound tracks,Anise
General,Potamophobia is the fear of,Rivers running water
General,What is a group of this animal called: Cur,Cowardice
General,Who invented the hamburger,Louis lassen
Science & Nature,What device is used to measure weather pressure ?,Barometer
General,What was invented by James Dewer in 1872,Vacuum or thermos flask
General,Almost half the bones in your body are in what two body parts,Hands & feet
History & Holidays,In which English town was the Co-Operative Society formed in 1844?,Rochdale
General,In February 1990 160 million bottles of what were withdrawn,Perrier – contaminated benzine
General,How many eyes are there in a deck of 52 cards,Forty two
Music,"Their Debut Album was Called ""Lexicon In Love"" Who Was The Band",ABC
General,A spool or reel for thread,Bobbin
Sports & Leisure,In Which Sport Would Win The Federation Cup,Womens Tennis
